nome_produto_aereo;nome_produto_codemge
Açúcar;Açúcares
Alimentos processados;Alimentos processados
Animais vivos;Animais vivos
Bebidas - Cervejas de malte;Bebidas - Cervejas de malte
Bebidas exceto cervejas de malte;Bebidas exceto cervejas de malte
Borracha e suas obras;Borracha e suas obras
Carnes;Carnes
Cosméticos e perfumaria;Cosméticos
Etanol;Etanol
Farelos;Farelos
Fármacos;Fármacos
Fertilizantes;Fertilizantes
Gás Natural;Gás Natural
Instrumentos e equipamentos profissionais;Instrumentos e equipamentos profissionais
Leite, laticínios e derivados animais;Laticínios
Máquinas e equipamentos elétricos;Máquinas e equipamentos eletricos
Máquinas e equipamentos mecânicos;Máquinas e equipamentos mecânicos
Máquinas pesadas;Máquinas pesadas
Metais e suas obras;Metais e suas obras
Milho;Milho em grão
Minério de ferro;Minério de ferro
Mobiliário;Mobiliário
Obras de ferro fundido, ferro ou aço;Obras de ferro fundido, ferro ou aço
Óleo diesel;Óleo diesel
Outros cereais e produtos agrícolas;Outros cereais e produtos agrícolas
Outros CGC;Outros CGC
Outros minerais;Outros minerais
Papel;Papel
Petroquímicos;Petroquímicos
Plásticos e suas obras;Plásticos e suas obras
Produtos da indústra gráfica;Produtos da indústra gráfica
Produtos químicos industriais;Produtos químicos industriais
Produtos químicos orgânicos;Produtos químicos orgânicos
Soja;Soja em grão
Subprodutos do minério de ferro;Subprodutos do minério de ferro
Veículos;Veículos
;Biodiesel
;Outros CGNC
