"id_produto_pnl35_original";"produto_pnl35_original";"id_produto_pnl35_corrigido";"produto_pnl35_corrigido";"id_macroproduto_peltmg";"nome_macroproduto_peltmg";"tonelada_total";"valor_total"
5;Bebidas exceto cervejas de malte;5;Bebidas exceto cervejas de malte;101;Bebidas, exceto cervejas;33511182;98345893888
2;Alimentos processados;2;Alimentos processados;102;Biscoitos e bolachas;1371216.0;13661613056
8;Carnes;8;Carnes;103;Carnes;14228769;161720401920
8;Carnes;8;Carnes;104;Carnes congeladas;6312363.0;56080134144
4;Bebidas - Cervejas de malte;4;Bebidas - Cervejas de malte;105;Cervejas;54385800;107194556416
2;Alimentos processados;2;Alimentos processados;106;Cigarros;381411.12;19305076736
9;Cosméticos;9;Cosméticos;107;Cosméticos e perfumaria;6320242.5;70091038720
26;Outros cereais e produtos agrícolas;26;Outros cereais e produtos agrícolas;108;Farinha de trigo;3904208.2;14101593088
12;Fármacos;12;Fármacos;109;Fármacos;404099.66;131340722176
27;Outros CGC;16;Laticínios;110;Leite, laticínios e derivados animais;63509.83;553689728
16;Laticínios;16;Laticínios;110;Leite, laticínios e derivados animais;42505420;122727735296
17;Máquinas e equipamentos eletricos;17;Máquinas e equipamentos eletricos;111;Máquinas e equipamentos elétricos;7491600.0;264896151552
33;Produtos da indústra gráfica;33;Produtos da indústra gráfica;112;Outros CGC;24188476;72727396352
2;Alimentos processados;2;Alimentos processados;112;Outros CGC;38236420;246713565184
27;Outros CGC;27;Outros CGC;112;Outros CGC;18806034;179919093760
26;Outros cereais e produtos agrícolas;26;Outros cereais e produtos agrícolas;112;Outros CGC;33288472;107062353920
8;Carnes;8;Carnes;112;Outros CGC;632995.75;13482674176
30;Papel;30;Papel;112;Outros CGC;42526136;92091211776
15;Instrumentos e equipamentos profissionais;15;Instrumentos e equipamentos profissionais;112;Outros CGC;559148.94;47077019648
34;Produtos químicos industriais;34;Produtos químicos industriais;112;Outros CGC;43454596;153560711168
20;Metais e suas obras;20;Metais e suas obras;112;Outros CGC;769259.2;31245377536
30;Papel;30;Papel;113;Papel Higiênico;2003080.5;9527985152
32;Plásticos e suas obras;32;Plásticos e suas obras;114;Plásticos e suas obras;64078528;266248175616
34;Produtos químicos industriais;34;Produtos químicos industriais;115;Produtos químicos industriais;11473781;185976307712
