"id_agregacao_municipio";"id_municipio";"nome_municipio";"id_uf";"nome_uf";"sigla_uf";"id_rgi";"regiao_reografica_imediata";"id_rgint";"regiao_reografica_intermediaria";"id_utp";"sede_utp";"id_zona_pnl";"nome_zona"
5570;5300108;Brasília;53;Distrito Federal;DF;530001;Distrito Federal;5301;Distrito Federal;53;Brasília;2819;Brasília
5569;5200175;Água Fria de Goiás;52;Goiás;GO;520022;Flores de Goiás;5206;Luziânia - Águas Lindas de Goiás;520017;Água Fria de Goiás;2647;Água Fria de Goiás
5568;5200605;Alto Paraíso de Goiás;52;Goiás;GO;520022;Flores de Goiás;5206;Luziânia - Águas Lindas de Goiás;378;Alto Paraíso de Goiás;5009;Alto Paraíso de Goiás
5567;5205307;Cavalcante;52;Goiás;GO;520022;Flores de Goiás;5206;Luziânia - Águas Lindas de Goiás;461;Cavalcante;4875;Cavalcante
5566;5207907;Flores de Goiás;52;Goiás;GO;520022;Flores de Goiás;5206;Luziânia - Águas Lindas de Goiás;520790;Flores de Goiás;5015;Flores de Goiás
5565;5220009;São João d'Aliança;52;Goiás;GO;520022;Flores de Goiás;5206;Luziânia - Águas Lindas de Goiás;378;Alto Paraíso de Goiás;5024;São João d'Aliança
5564;5221080;Teresina de Goiás;52;Goiás;GO;520022;Flores de Goiás;5206;Luziânia - Águas Lindas de Goiás;461;Cavalcante;4892;Teresina de Goiás
5563;5222203;Vila Boa;52;Goiás;GO;520022;Flores de Goiás;5206;Luziânia - Águas Lindas de Goiás;783;Buritis;2817;Vila Boa
5562;5200803;Alvorada do Norte;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;11;Alvorada do Norte;2652;Alvorada do Norte
5561;5203962;Buritinópolis;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;654;Posse;2672;Buritinópolis
5560;5204904;Campos Belos;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;443;Campos Belos;4874;Campos Belos
5559;5206701;Damianópolis;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;11;Alvorada do Norte;2697;Damianópolis
5558;5208301;Divinópolis de Goiás;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;694;São Domingos;4878;Divinópolis de Goiás
5557;5209408;Guarani de Goiás;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;654;Posse;4879;Guarani de Goiás
5556;5209903;Iaciara;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;529;Iaciara;5016;Iaciara
5555;5212709;Mambaí;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;654;Posse;5017;Mambaí
5554;5213509;Monte Alegre de Goiás;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;593;Monte Alegre de Goiás;4882;Monte Alegre de Goiás
5553;5214903;Nova Roma;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;529;Iaciara;4886;Nova Roma
5552;5218300;Posse;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;654;Posse;5022;Posse
5551;5219803;São Domingos;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;694;São Domingos;4890;São Domingos
5550;5220686;Simolândia;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;11;Alvorada do Norte;2803;Simolândia
5549;5220702;Sítio d'Abadia;52;Goiás;GO;520021;Posse-Campos Belos;5206;Luziânia - Águas Lindas de Goiás;11;Alvorada do Norte;2804;Sítio d'Abadia
5548;5200258;Águas Lindas de Goiás;52;Goiás;GO;520020;Águas Lindas de Goiás;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2649;Águas Lindas de Goiás
5547;5204003;Cabeceiras;52;Goiás;GO;520020;Águas Lindas de Goiás;5206;Luziânia - Águas Lindas de Goiás;783;Buritis;2673;Cabeceiras
5546;5205513;Cocalzinho de Goiás;52;Goiás;GO;520020;Águas Lindas de Goiás;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2689;Cocalzinho de Goiás
5545;5208004;Formosa;52;Goiás;GO;520020;Águas Lindas de Goiás;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2705;Formosa
5544;5213053;Mimoso de Goiás;52;Goiás;GO;520020;Águas Lindas de Goiás;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2747;Mimoso de Goiás
5543;5215603;Padre Bernardo;52;Goiás;GO;520020;Águas Lindas de Goiás;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2764;Padre Bernardo
5542;5217609;Planaltina;52;Goiás;GO;520020;Águas Lindas de Goiás;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2775;Planaltina
5541;5205497;Cidade Ocidental;52;Goiás;GO;520019;Luziânia;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2688;Cidade Ocidental
5540;5206206;Cristalina;52;Goiás;GO;520019;Luziânia;5206;Luziânia - Águas Lindas de Goiás;488;Cristalina;2693;Cristalina
5539;5212501;Luziânia;52;Goiás;GO;520019;Luziânia;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2742;Luziânia
5538;5215231;Novo Gama;52;Goiás;GO;520019;Luziânia;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2760;Novo Gama
5537;5219753;Santo Antônio do Descoberto;52;Goiás;GO;520019;Luziânia;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2793;Santo Antônio do Descoberto
5536;5221858;Valparaíso de Goiás;52;Goiás;GO;520019;Luziânia;5206;Luziânia - Águas Lindas de Goiás;53;Brasília;2813;Valparaíso de Goiás
5535;5203203;Barro Alto;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;116;Goianésia;2664;Barro Alto
5534;5204953;Campos Verdes;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;489;Crixás;5012;Campos Verdes
5533;5205000;Carmo do Rio Verde;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;86;Ceres;2682;Carmo do Rio Verde
5532;5205406;Ceres;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;86;Ceres;2686;Ceres
5531;5206404;Crixás;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;489;Crixás;5014;Crixás
5530;5208608;Goianésia;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;116;Goianésia;2709;Goianésia
5529;5209457;Guarinos;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;489;Crixás;2717;Guarinos
5528;5210158;Ipiranga de Goiás;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;746;Uruaçu;2725;Ipiranga de Goiás
5527;5210901;Itapaci;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;746;Uruaçu;2730;Itapaci
5526;5213855;Morro Agudo de Goiás;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;86;Ceres;2750;Morro Agudo de Goiás
5525;5214705;Nova América;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;86;Ceres;2755;Nova América
5524;5214861;Nova Glória;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;746;Uruaçu;2757;Nova Glória
5523;5216908;Pilar de Goiás;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;489;Crixás;5021;Pilar de Goiás
5522;5218607;Rialma;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;86;Ceres;2780;Rialma
5521;5218706;Rianápolis;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;641;Pirenópolis;2781;Rianápolis
5520;5218904;Rubiataba;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;86;Ceres;2783;Rubiataba
5519;5219357;Santa Isabel;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;86;Ceres;2788;Santa Isabel
5518;5219456;Santa Rita do Novo Destino;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;116;Goianésia;2789;Santa Rita do Novo Destino
5517;5219704;Santa Terezinha de Goiás;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;489;Crixás;5023;Santa Terezinha de Goiás
5516;5220280;São Patrício;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;86;Ceres;2799;São Patrício
5515;5221577;Uirapuru;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;489;Crixás;5025;Uirapuru
5514;5221700;Uruana;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;86;Ceres;2811;Uruana
5513;5222302;Vila Propício;52;Goiás;GO;520018;Ceres - Rialma - Goianésia;5205;Porangatu - Uruaçu;116;Goianésia;2818;Vila Propício
