"id_zona_pnl";"cdmunibge";"nome_zona";"cdmunmdic";"idvisum_mr";"nmmr_pnl";"ufpnl";"regiao";"pais";"continente";"longitude";"latitude"
1;3509106;Caiuá;3409106;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-51.986637;-21.801456
2;3511003;Castilho;3411003;489;Andradina;SP;Sudeste;Brasil;America do Sul;-51.57025;-20.89761
3;3514403;Dracena;3414403;507;Dracena;SP;Sudeste;Brasil;America do Sul;-51.58405;-21.556711
4;3515301;Estrela do Norte;3415301;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-51.66907;-22.485611
5;3515350;Euclides da Cunha Paulista;3415350;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-52.588604;-22.518967
6;3528700;Marabá Paulista;3428700;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-52.056587;-22.127697
7;3530201;Mirante do Paranapanema;3430201;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-51.997967;-22.349245
8;3531605;Monte Castelo;3431605;507;Dracena;SP;Sudeste;Brasil;America do Sul;-51.571365;-21.254858
9;3532207;Narandiba;3432207;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-51.52168;-22.563711
10;3533106;Nova Guataporanga;3433106;507;Dracena;SP;Sudeste;Brasil;America do Sul;-51.645447;-21.322363
11;3534807;Ouro Verde;3434807;507;Dracena;SP;Sudeste;Brasil;America do Sul;-51.737846;-21.510412
12;3535408;Panorama;3435408;507;Dracena;SP;Sudeste;Brasil;America do Sul;-51.858067;-21.463308
13;3536406;Paulicéia;3436406;507;Dracena;SP;Sudeste;Brasil;America do Sul;-51.79072;-21.198343
14;3538303;Piquerobi;3438303;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-51.731567;-21.852669
15;3541208;Presidente Bernardes;3441208;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-51.620342;-22.107273
16;3541307;Presidente Epitácio;3441307;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-52.17492;-21.910658
17;3541505;Presidente Venceslau;3441505;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-51.838337;-21.793013
18;3543238;Ribeirão dos Índios;3443238;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-51.58328;-21.78427
19;3544251;Rosana;3444251;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-52.836903;-22.489145
20;3545506;Sandovalina;3445506;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-51.842133;-22.477861
21;3547106;Santa Mercedes;3447106;507;Dracena;SP;Sudeste;Brasil;America do Sul;-51.737133;-21.316776
22;3547700;Santo Anastácio;3447700;535;Presidente Prudente;SP;Sudeste;Brasil;America do Sul;-51.72252;-22.037657
23;3549300;São João do Pau d'Alho;3449300;507;Dracena;SP;Sudeste;Brasil;America do Sul;-51.673046;-21.22345
